,title,link,create_time
17,实习 | 中国航发商发2026年暑期实习生招募启动!,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652001036&idx=1&sn=d1140d61314dddca62d81b99d5bc6098&chksm=8bb7dd10bcc0540648d57506c6b9ffc7b9fa022bd71e94d3ff88f88924dbe050236d4dda7839#rd,2026-06-25 16:53
18,招聘会 | 实习云聘会来袭！723家名企，3.5万+优质岗位等你来投！,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652001036&idx=2&sn=9aa7f0896850c5b98c5e3d836558a29d&chksm=8bb7dd10bcc05406326dc3fc2a76525bb59cd30d6da4a557db3caf873627a196b02fa124c8b4#rd,2026-06-25 16:53
19,招聘会 | 留学生专场招聘，近100家名企集结，3000+长三角岗位诚邀全球留学生来投递！,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652001036&idx=3&sn=6a742c3257160e7e36b1a313875a29dd&chksm=8bb7dd10bcc05406b829bdc7a103eae6945f3168fdcc3cf63138eda1f5687d342cd3c8fe61fd#rd,2026-06-25 16:53
20,招聘 | 航天八院上海空间电源研究所 2026暑期提前批招聘已开启 ！,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652001018&idx=1&sn=9908beccd76ce0c403be70e4d7a40e07&chksm=8bb7dce6bcc055f0a199b84f882ac4ec748ffc83e2704e6d73c1ebe0696ce783e0d94d044319#rd,2026-06-24 15:24
21,招聘 | TP-LINK 校园招聘提前批正式启动,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652001018&idx=2&sn=381180b8c2fb9c8916162d43c6edaae5&chksm=8bb7dce6bcc055f036d37bd74a981ae30e007d3c5a93e42d2b1e85dbd177e875dfddbbbea791#rd,2026-06-24 15:24
22,招聘 | 选择未来与卓和并肩  广东卓和高新材料有限公司,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652001018&idx=3&sn=c57a79324dd430bfe7f6c4e0b956b7ff&chksm=8bb7dce6bcc055f04285b5639146d9651c8bea1002523676735514a3216185ae46f22416b134#rd,2026-06-24 15:24
23,招聘 | 中船科技2026届校园招聘,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652001003&idx=1&sn=8eb74a3f6ad7d046d33a2c00b568b250&chksm=8bb7dcf7bcc055e121b9e95c5961d0d596b064990ea55c3665ebdfc8b4cb407e739b5c255742#rd,2026-06-23 17:27
24,实习 | 国家电投集团2026年实习生招募启动,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652001003&idx=2&sn=78f1ca96af58544cfee3fb7859fc8a64&chksm=8bb7dcf7bcc055e1185684892322b4590cd28cfd8cb1a0382b77729ed6cff98ce746d646b532#rd,2026-06-23 17:27
25,招聘 | 广纳贤才，铁一院2027年招聘启动！,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652001003&idx=3&sn=d2a0683eb94bc34f4b75a2cb3a6190a5&chksm=8bb7dcf7bcc055e1521efcbfa038efaa5e4bed3e0b39949239d79eff4a0d27740b7ba5f735c7#rd,2026-06-23 17:27
26,社会实践 | @南通学子，2026年“万名学子看南通”大学生暑期社会实践报名开始啦！,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652001003&idx=4&sn=f89ecea96dfce6dd365748f11b4289a4&chksm=8bb7dcf7bcc055e135a4a7c28682c0d22578284c5ef78c3dcad8c776e9566bc4aa41e801e96f#rd,2026-06-23 17:27
